fuente,institucion,id_objeto,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,pais,region,subregion,localidad,departamento_museo,clasificacion_original,clasificacion_normalizada,nombre_objeto_original,material_original,dimensiones,linea_credito,repositorio,url_objeto,url_imagen,url_imagen_miniatura,es_dominio_publico,derechos_reproduccion,etiquetas_originales,termino_busqueda,puntaje_textil,estado_curacion,motivo_curacion,conteo_evidencia_textil,conteo_evidencia_exclusion,fecha_descarga
met,The Metropolitan Museum of Art,892170,The Bride,Objeto textil,,,1962,,,,,Modern and Contemporary Art,Textiles,No textil,Textile,"Linen, feathers, wood",12 ft. 2 in. × 19 3/4 in. (370.8 × 50.2 cm),"Purchase, Lenore G. Tawney Foundation and Lila Acheson Wallace Gifts, 2023","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/892170,,,False,Lenore G. Tawney Foundation – lenoretawney.org,,Andean textile,5,excluido_sin_imagen,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material sugiere objeto no textil: ['wood']",2,1,2026-06-15
met,The Metropolitan Museum of Art,316962,Four-Cornered Hat,Objeto textil,Wari,,7th–9th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Hat,Camelid hair,H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,316983,Four-Cornered Hat,Objeto textil,Tiwanaku,,4th–8th century,Bolivia (?),,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Hat,Camelid hair,H. 6 × Circum. 16 in. (15.2 × 40.6 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316983,https://images.metmuseum.org/CRDImages/ao/original/DP-29592-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29592-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",2,0,2026-06-15
met,The Metropolitan Museum of Art,316981,Four-Cornered Hat,Objeto textil,Tiwanaku,,7th–9th century,Bolivia (?),,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Hat,Camelid hair,H. 5 × Circum. 17 1/4 in. (12.7 × 43.8 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316981,https://images.metmuseum.org/CRDImages/ao/original/DP-29590-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29590-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['tiwanaku']",2,0,2026-06-15
met,The Metropolitan Museum of Art,317736,Woman's Dress,Objeto textil,Chuquibamba,,14th–early 16th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Dress,Camelid hair,H. 51 1/2  x  W. 60 1/2 in. (130.8 x 153.7 cm),"Purchase, Pfeiffer Fund and Arthur M. Bullowa Bequest, 1995","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/317736,https://images.metmuseum.org/CRDImages/ao/original/DT1275.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1275.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru']",2,0,2026-06-15
met,The Metropolitan Museum of Art,319265,Arm bands,,Chavín,,800–500 BCE,Peru,,,,The Michael C. Rockefeller Wing,Metal-Ornaments,No textil,Arm bands,Gold,Each: H. 1 7/8 × W. (Diam.) 2 3/4 in. (4.8 × 7 cm),"Purchase, Jan Mitchell Gift, 2003","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/319265,https://images.metmuseum.org/CRDImages/ao/original/DT375099.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT375099.jpg,True,,Animals,Andean textile,-7,excluido_no_textil,"título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru'] | clasificación sugiere objeto no textil: ['metal', 'ornaments'] | material sugiere objeto no textil: ['gold']",0,2,2026-06-15
met,The Metropolitan Museum of Art,833953,Tapestry Tunic,Túnica textil,Wari,,7th–9th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tunic,Camelid wool,H. 42 11/16 × W. 42 15/16 in. (108.5 × 109 cm),"Gift of Claudia Quentin, in celebration of the Museum's 150th Anniversary, 2020","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/833953,https://images.metmuseum.org/CRDImages/ao/original/DP-18736-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-18736-001.jpg,True,,,Andean textile,17,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['wool', 'camelid'] | título contiene términos textiles: ['tapestry', 'tunic'] | evidencia cultural/geográfica andina: ['peru', 'wari']",4,0,2026-06-15
met,The Metropolitan Museum of Art,316978,Four-Cornered Hat,Objeto textil,Tiwanaku or Wari,,500–900 CE,Bolivia or Peru,,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Hat,Camelid fiber,H. 7 in.  × Circum. 22 3/4 in. (17.8 × 57.8 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316978,https://images.metmuseum.org/CRDImages/ao/original/DP-29598-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29598-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari', 'tiwanaku']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312676,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers, cotton, camelid hair",H. 27 1/2 x W. 83 1/2 x D. 3 1/4 in. (69.9 x 212.1 x 8.3 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312676,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-005.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-005.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,314623,Four-Cornered Hat,Objeto textil,Wari,,500–900 CE,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Costumes,Textil,Hat,Camelid fiber,H. 4 7/8 x W. 6 7/8 in. (12.4 x 17.5 cm),"Gift of Arthur M. Bullowa, 1983","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/314623,https://images.metmuseum.org/CRDImages/ao/original/DP-29604-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29604-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312683,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 29 × W. 84 in. (73.66 × 213.36 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312683,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-009.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-009.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312678,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 33 1/8 × W. 87 1/2 in. (84.14 × 222.25 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312678,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-013.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-013.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312680,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 29 1/4 × W. 83 5/8 in. (74.3 × 212.41 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312680,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-006.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-006.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312681,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 28 3/4 × W. 83 1/2 in. (73.03 × 212.09 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312681,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-007.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-007.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312679,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 31 1/2 x W. 85 1/4 in. (80 x 216.5 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312679,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-012.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-012.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312674,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid fiber",H. 33 3/4 × W. 6 in. (85.73 × 218.44 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312674,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-011.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-011.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,312682,Feathered Panel,Panel textil,Wari,,600–900 CE,Peru,South Coast,,,The Michael C. Rockefeller Wing,Textiles-Featherwork,Textil,Panel,"Feathers on cotton, camelid hair",H. 28 1/2 × W. 83 1/4 in. (72.39 × 211.46 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312682,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-010.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-010.jpg,True,,,Andean textile,11,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,309959,Funerary mask,,Lambayeque (Sicán),,900–1100 CE,Peru,North Coast,,,The Michael C. Rockefeller Wing,Metalwork-Gold,No textil,Mask,"Gold, silver-copper alloy, cinnabar",H. 11 1/2 in. × W. 19 1/2 in. × D. 4 in. (29.2 × 49.5 × 10.2 cm),"Gift and Bequest of Alice K. Bache, 1974, 1977","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/309959,https://images.metmuseum.org/CRDImages/ao/original/DP-42545-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-42545-001.jpg,True,,,Andean textile,-16,excluido_no_textil,"evidencia cultural/geográfica andina: ['peru'] | clasificación sugiere objeto no textil: ['metalwork', 'metal'] | material sugiere objeto no textil: ['gold', 'silver', 'copper', 'alloy'] | título sugiere objeto no textil: ['mask'] | nombre de objeto sugiere objeto no textil: ['mask']",0,4,2026-06-15
met,The Metropolitan Museum of Art,317793,Bottle in the shape of a feline,,Wari,,600–900 CE,Peru,,,,The Michael C. Rockefeller Wing,Ceramics-Containers,No textil,Bottle,"Ceramic, slip",H. 8 × W. 2 3/4 × D. 4 1/2 in. (20.3 × 7 × 11.4 cm),"Purchase, Arthur M. Bullowa Bequest and Rogers Fund, 1996","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/317793,https://images.metmuseum.org/CRDImages/ao/original/DP-23628-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23628-001.jpg,True,,,Andean textile,-16,excluido_no_textil,"evidencia cultural/geográfica andina: ['peru', 'wari'] | clasificación sugiere objeto no textil: ['ceramics', 'ceramic'] | material sugiere objeto no textil: ['ceramic'] | título sugiere objeto no textil: ['bottle'] | nombre de objeto sugiere objeto no textil: ['bottle']",0,4,2026-06-15
met,The Metropolitan Museum of Art,308121,Four-Cornered Hat,Objeto textil,Wari,,7th–9th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Hat,"Camelid hair, cotton",H. 7 in. × Circum. 22 1/2 in. (17.8 × 57.2 cm),"Gift of George D. Pratt, 1933","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/308121,https://images.metmuseum.org/CRDImages/ao/original/DP-29599-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29599-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",2,0,2026-06-15
met,The Metropolitan Museum of Art,315772,Headband with ornamental tassels,Banda o vincha textil,Nasca,,6th–8th century,Peru,,,,The Michael C. Rockefeller Wing,Textiles-Woven,Textil,Tassels,Camelid hair,H x W: 8 1/4 x 12in. (21 x 30.5cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/315772,https://images.metmuseum.org/CRDImages/ao/original/DP-26542-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26542-001.jpg,True,,,Andean textile,10,aceptado_textil,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['headband'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'nasca'] | título sugiere objeto no textil: ['ornament']",3,1,2026-06-15
