fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,104247,,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.396.a,https://openaccess-cdn.clevelandart.org/1922.396.a/1922.396.a_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104248,,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.396.b,https://openaccess-cdn.clevelandart.org/1922.396.b/1922.396.b_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104249,,Three Fragments of a Border,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby with inset border of fancy twill, brocaded; cotton and wool",,,https://clevelandart.org/art/1922.396.c,https://openaccess-cdn.clevelandart.org/1922.396.c/1922.396.c_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,104390,,Fragment from a Mantle,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool",,,https://clevelandart.org/art/1922.517,https://openaccess-cdn.clevelandart.org/1922.517/1922.517_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,108026,,Fragment,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby, brocaded; cotton",,,https://clevelandart.org/art/1925.654,https://openaccess-cdn.clevelandart.org/1925.654/1925.654_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,108033,,Unfinished Cloth,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,Textile,Textile,tapestry weave; cotton and wool,,,https://clevelandart.org/art/1925.660,https://openaccess-cdn.clevelandart.org/1925.660/1925.660_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,108034,,Fragment of a Double Cloth,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby weave, double cloth; cotton",,,https://clevelandart.org/art/1925.661,https://openaccess-cdn.clevelandart.org/1925.661/1925.661_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,108038,,Large Cloth,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,Textile,Textile,plain cloth with overlaid tapestry-like decoration; cotton and wool,,,https://clevelandart.org/art/1925.665,https://openaccess-cdn.clevelandart.org/1925.665/1925.665_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,108042,,Tapestry-woven Yoke from a Tunic,"Central Andes, North Central Coast, Moche-Wari Style",800–1200?,Textile,Textile,"camelid fiber and cotton, tapestry weave",,,https://clevelandart.org/art/1925.667,https://openaccess-cdn.clevelandart.org/1925.667/1925.667_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Central Andes, North Central Coast, Moche-Wari Style",800–1200?,,,,
Cleveland Museum of Art,108043,,Tunic (Shirt) with Tapestry-woven Yoke,"Central Andes, Northern Central Coast",650–850,Textile,Textile,"camelid fiber and cotton; tapestry-weave yoke and chest plaque, plain-weave body",,,https://clevelandart.org/art/1925.668,https://openaccess-cdn.clevelandart.org/1925.668/1925.668_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Central Andes, Northern Central Coast",650–850,,,,
Cleveland Museum of Art,108044,,Textile Bag,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,Textile,Textile,"tabby weave, warp patterned; wool",,,https://clevelandart.org/art/1925.669,https://openaccess-cdn.clevelandart.org/1925.669/1925.669_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,114131,,Fish-Shaped Applique,"Central Andes, Central Coast, Ychsma (Pachacamac) people",1400–1532,Textile,Textile,"cotton and camelid fiber, tapestry weave with areas of eccentric weft floats",,,https://clevelandart.org/art/1933.392,https://openaccess-cdn.clevelandart.org/1933.392/1933.392_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Central Andes, Central Coast, Ychsma (Pachacamac) people",1400–1532,,,,
Cleveland Museum of Art,114132,,Tie-Dyed Fragment,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100 A.D.,Textile,Textile,"discontinuous warp and weft, tie-dyed; wool",,,https://clevelandart.org/art/1933.393,https://openaccess-cdn.clevelandart.org/1933.393/1933.393_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100 A.D.,,,,
Cleveland Museum of Art,119652,,Painted Wrapping for Mummy,"Peru, Central Coast, Chancay, 12th-15th century",c.1100–1400 A.D.,Textile,Textile,"plain cloth, painted; cotton",,,https://clevelandart.org/art/1940.494,https://openaccess-cdn.clevelandart.org/1940.494/1940.494_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c.1100–1400 A.D.,,,,
Cleveland Museum of Art,119655,,Fragmentary Mantle,"Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century",c. 1400–1532,Textile,Textile,"tapestry and fancy twill, brocaded; twill",,,https://clevelandart.org/art/1940.497,https://openaccess-cdn.clevelandart.org/1940.497/1940.497_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century",c. 1400–1532,,,,
Cleveland Museum of Art,119656,,Dress,"Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",c. 1100–1532,Textile,Textile,camelid fiber; tapestry and complementary-weft weave,,,https://clevelandart.org/art/1940.498,https://openaccess-cdn.clevelandart.org/1940.498/1940.498_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",c. 1100–1532,,,,
Cleveland Museum of Art,119675,,Tunic,"Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people",400–200 BCE,Textile,Textile,looped camelid fiber,,,https://clevelandart.org/art/1940.514,https://openaccess-cdn.clevelandart.org/1940.514/1940.514_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people",400–200 BCE,,,,
Cleveland Museum of Art,119676,,Mantle,"Peru, South Coast, Paracas",c. 600–400 BCE,Textile,Textile,embroidery on wool ground,,,https://clevelandart.org/art/1940.515,https://openaccess-cdn.clevelandart.org/1940.515/1940.515_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas",c. 600–400 BCE,,,,
Cleveland Museum of Art,119677,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,Textile,Textile,"cotton and pigment, plain weave",,,https://clevelandart.org/art/1940.516,https://openaccess-cdn.clevelandart.org/1940.516/1940.516_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,,,,
Cleveland Museum of Art,119678,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200 BCE–1 CE,Textile,Textile,"plain warp-faced cloth, painted",,,https://clevelandart.org/art/1940.517,https://openaccess-cdn.clevelandart.org/1940.517/1940.517_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200 BCE–1 CE,,,,
Cleveland Museum of Art,119679,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200 BCE–1 CE,Textile,Textile,"warp-faced cloth, painted: cotton",,,https://clevelandart.org/art/1940.518,https://openaccess-cdn.clevelandart.org/1940.518/1940.518_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200 BCE–1 CE,,,,
Cleveland Museum of Art,119680,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,Textile,Textile,"plain warp-faced cloth, painted: cotton",,,https://clevelandart.org/art/1940.519,https://openaccess-cdn.clevelandart.org/1940.519/1940.519_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,,,,
Cleveland Museum of Art,119682,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,Textile,Textile,"cotton: plain warp-faced cloth, painted",,,https://clevelandart.org/art/1940.520,https://openaccess-cdn.clevelandart.org/1940.520/1940.520_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,,,,
Cleveland Museum of Art,119683,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,Textile,Textile,"cotton and pigment, plain weave",,,https://clevelandart.org/art/1940.521,https://openaccess-cdn.clevelandart.org/1940.521/1940.521_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,,,,
Cleveland Museum of Art,119684,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)","170 BCE–70 CE (radiocarbon date, 95% probability)",Textile,Textile,"plain warp-faced cloth, painted: cotton",,,https://clevelandart.org/art/1940.522,https://openaccess-cdn.clevelandart.org/1940.522/1940.522_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)","170 BCE–70 CE (radiocarbon date, 95% probability)",,,,
Cleveland Museum of Art,119685,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,Textile,Textile,Cotton and pigment; plain weave,,,https://clevelandart.org/art/1940.523,https://openaccess-cdn.clevelandart.org/1940.523/1940.523_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,,,,
Cleveland Museum of Art,119686,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,Textile,Textile,"cotton and pigment, plain weave",,,https://clevelandart.org/art/1940.524,https://openaccess-cdn.clevelandart.org/1940.524/1940.524_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,,,,
Cleveland Museum of Art,119687,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,Textile,Textile,"plain warp-faced cloth, painted: cotton",,,https://clevelandart.org/art/1940.525,https://openaccess-cdn.clevelandart.org/1940.525/1940.525_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,,,,
Cleveland Museum of Art,119688,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,Textile,Textile,"plain warp-faced cloth, painted: cotton",,,https://clevelandart.org/art/1940.526,https://openaccess-cdn.clevelandart.org/1940.526/1940.526_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,,,,
Cleveland Museum of Art,119689,,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,Textile,Textile,Cotton and pigment; plain weave,,,https://clevelandart.org/art/1940.527,https://openaccess-cdn.clevelandart.org/1940.527/1940.527_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",400–200 BCE,,,,
Cleveland Museum of Art,119690,,Fragment of Embroidered Cloth,"Peru, South Coast, Paracas, Late Period",c. 300–100 BCE,Textile,Textile,embroidery on plain wool ground,,,https://clevelandart.org/art/1940.528,https://openaccess-cdn.clevelandart.org/1940.528/1940.528_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas, Late Period",c. 300–100 BCE,,,,
Cleveland Museum of Art,119693,,Cloth with Procession of Figures,"Central Andes, South Coast, Nasca people","170 BCE–70 CE (radiocarbon date, 95% probability)",Textile,Textile,cotton and pigment (field); camelid fiber (borders and fringe),,,https://clevelandart.org/art/1940.530,https://openaccess-cdn.clevelandart.org/1940.530/1940.530_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Central Andes, South Coast, Nasca people","170 BCE–70 CE (radiocarbon date, 95% probability)",,,,
Cleveland Museum of Art,124413,,Mantle Corner Fragment,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",700–1100 A.D.,Textile,Textile,cotton and camelid fiber; plain weave with supplementary weft (brocade),,,https://clevelandart.org/art/1945.379,https://openaccess-cdn.clevelandart.org/1945.379/1945.379_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",700–1100 A.D.,,,,
Cleveland Museum of Art,124739,,Mantle,"Peru, South Coast, Paracas (Cavernas) style",c. 300 BCE–200 CE,Textile,Textile,camelid fiber: plain weave with embroidery,,,https://clevelandart.org/art/1946.226,https://openaccess-cdn.clevelandart.org/1946.226/1946.226_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas (Cavernas) style",c. 300 BCE–200 CE,,,,
Cleveland Museum of Art,124740,,Tunic,"Peru, South Coast, Paracas (Cavernas) style",c. 300 BCE–200 CE,Textile,Textile,Alpaca wool: plain weave with embroidery and warp substitution,,,https://clevelandart.org/art/1946.227,https://openaccess-cdn.clevelandart.org/1946.227/1946.227_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas (Cavernas) style",c. 300 BCE–200 CE,,,,
Cleveland Museum of Art,124741,,Turban Band (Llauto),"Peru, South Coast, Paracas, Late Period",c. 300–100 BCE,Textile,Textile,wool and cotton: needle reseau (netting),,,https://clevelandart.org/art/1946.228,https://openaccess-cdn.clevelandart.org/1946.228/1946.228_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Paracas, Late Period",c. 300–100 BCE,,,,
Cleveland Museum of Art,125095,,Mantle Corner Fragment,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,Textile,Textile,cotton and camelid fiber; plain weave with supplementary weft (brocade),,,https://clevelandart.org/art/1946.75,https://openaccess-cdn.clevelandart.org/1946.75/1946.75_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,,,,
Cleveland Museum of Art,126684,,Tunic with Profile Animal and Human Heads,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,Textile,Textile,tapestry weave: wool,,,https://clevelandart.org/art/1949.12,https://openaccess-cdn.clevelandart.org/1949.12/1949.12_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,,,,
Cleveland Museum of Art,128454,,Half Tunic,"Peru, South Coast, Inca Culture, Colonial Period, 16th century",16th century,Textile,Textile,interlocked tapestry; cotton and wool,,,https://clevelandart.org/art/1951.393,https://openaccess-cdn.clevelandart.org/1951.393/1951.393_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Inca Culture, Colonial Period, 16th century",16th century,,,,
Cleveland Museum of Art,130555,,Large Cloth,"Peru, North Coast, Chimu-Inka","1460–1632 (radiocarbon date, 95% probability)",Textile,Textile,"plain tabby, brocaded: wool and cotton",,,https://clevelandart.org/art/1953.288,https://openaccess-cdn.clevelandart.org/1953.288/1953.288_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, North Coast, Chimu-Inka","1460–1632 (radiocarbon date, 95% probability)",,,,
Cleveland Museum of Art,134395,,Tunic,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,Textile,Textile,tapestry; interlocked wefts and areas of eccentric weaving: wool and cotton,,,https://clevelandart.org/art/1956.84,https://openaccess-cdn.clevelandart.org/1956.84/1956.84_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,,,,
Cleveland Museum of Art,134604,,Tunic,"Peru, Inca, 15th-16th century",c. 1400–1540,Textile,Textile,tapestry; cotton and camelid fiber,,,https://clevelandart.org/art/1957.136,https://openaccess-cdn.clevelandart.org/1957.136/1957.136_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Inca, 15th-16th century",c. 1400–1540,,,,
Cleveland Museum of Art,134765,,Fragment,"Peru, South Coast, Nasca-Huari style",c. 600–700,Textile,Textile,interlocking warp and weft: wool,,,https://clevelandart.org/art/1957.340,https://openaccess-cdn.clevelandart.org/1957.340/1957.340_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Nasca-Huari style",c. 600–700,,,,
Cleveland Museum of Art,134948,,Tapestry Square Panel,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,Tapestry,Tapestry,tapestry with interlocked wefts: wool and cotton,,,https://clevelandart.org/art/1957.495,https://openaccess-cdn.clevelandart.org/1957.495/1957.495_web.jpg,aceptar_principal,mantener,,si,principal,,Tapestry,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100,,,,
Cleveland Museum of Art,137312,,Embroidered Fragment,"Peru, South Coast, Paracas",c. 650–100 BCE,Embroidery,Embroidery,wool embroidery on wool tabby ground,,,https://clevelandart.org/art/1962.240,https://openaccess-cdn.clevelandart.org/1962.240/1962.240_web.jpg,aceptar_principal,mantener,,si,principal,,Embroidery,"Peru, South Coast, Paracas",c. 650–100 BCE,,,,
Cleveland Museum of Art,149062,,Fragment,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,Textile,Textile,tapestry: cotton and wool,,,https://clevelandart.org/art/1977.190,https://openaccess-cdn.clevelandart.org/1977.190/1977.190_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,,,,
Cleveland Museum of Art,152258,,Two Textile Fragment with Fanged Heads,"Peru, South Coast, Ica Valley, Chavín style",500–200 BCE,Textile,Textile,cotton: plain weave patterned by fiber-wrapped warps and supplementary wefts,,,https://clevelandart.org/art/1985.139,https://openaccess-cdn.clevelandart.org/1985.139/1985.139_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, South Coast, Ica Valley, Chavín style",500–200 BCE,,,,
Cleveland Museum of Art,152334,,Mantle Border Fragment with Oculate Being,"Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)",200 BCE–200 CE,Embroidery,Embroidery,"camelid fiber, embroidery over foundation cloth",,,https://clevelandart.org/art/1985.193,https://openaccess-cdn.clevelandart.org/1985.193/1985.193_web.jpg,aceptar_principal,mantener,,si,principal,,Embroidery,"Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)",200 BCE–200 CE,,,,
Cleveland Museum of Art,152819,,Two Tapestry-woven Panel Fragments,"Central Andes, North Coast, Chimú people",1000–1460s,Tapestry,Tapestry,"camelid fiber and cotton, tapestry weave",,,https://clevelandart.org/art/1985.7,https://openaccess-cdn.clevelandart.org/1985.7/1985.7_web.jpg,aceptar_principal,mantener,,si,principal,,Tapestry,"Central Andes, North Coast, Chimú people",1000–1460s,,,,
Cleveland Museum of Art,155505,,Textile Fragment,"Peru, North Coast, 9th-12th Century",800–1100,Textile,Textile,"slit tapestry, cotton warp, camelid-fiber wefts",,,https://clevelandart.org/art/1990.225,https://openaccess-cdn.clevelandart.org/1990.225/1990.225_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, North Coast, 9th-12th Century",800–1100,,,,
Cleveland Museum of Art,155934,,Tapestry Fragment,"Peru, North Coast, Lambayeque (Sicán) people",700–1370s,Tapestry,Tapestry,"camelid fiber and cotton, tapestry weave",,,https://clevelandart.org/art/1991.223,https://openaccess-cdn.clevelandart.org/1991.223/1991.223_web.jpg,aceptar_principal,mantener,,si,principal,,Tapestry,"Peru, North Coast, Lambayeque (Sicán) people",700–1370s,,,,
Cleveland Museum of Art,156237,,Tapestry Panel,"Peru, Central Coast, Chancay-Chimú style, 11th-15th century",1000–1460s,Tapestry,Tapestry,"camelid fiber and cotton, tapestry weave",,,https://clevelandart.org/art/1992.103,https://openaccess-cdn.clevelandart.org/1992.103/1992.103_web.jpg,aceptar_principal,mantener,,si,principal,,Tapestry,"Peru, Central Coast, Chancay-Chimú style, 11th-15th century",1000–1460s,,,,
Cleveland Museum of Art,157111,,Triple Cloth,"Peru, Recuay",400 BCE–700 CE,Textile,Textile,triple cloth: wool,,,https://clevelandart.org/art/1993.242,https://openaccess-cdn.clevelandart.org/1993.242/1993.242_web.jpg,aceptar_principal,mantener,,si,principal,,Textile,"Peru, Recuay",400 BCE–700 CE,,,,
